Nama,ID,Teori Bilangan,Aljabar Linear ,Aplikasi Aljabar Linear ,Pengantar Desain Eksperimen ,Perangkat Lunak Matematika ,Praktikum Perangkat Lunak Matematika ,Matematika Ekonomi dan Bisnis ,Persamaan Beda Hingga ,Matematika Keuangan 1 ,Teori Grup Fuzzy ,Teori Grup Hingga ,Pengantar Teori Graf ,Kombinatorika ,Sistem Basis Data ,Praktikum Sistem Basis Data ,Pengantar Biologi ,Pengantar Fisika ,Pengantar Kimia ,Pengantar Fungsi Univalen ,Matriks Atas Ring ,Pengantar Teori Modul ,Fungsi Khusus ,Pengantar Sistem Dinamik Kontinu ,Matematika Keuangan 2 ,Pengantar Metode Peramalan ,Pengantar Regresi Linear ,Matematika Asuransi 1 ,Riset Operasi 2 ,Teori Permainan ,Pengantar Data Mining ,Pengantar Komputasi Cerdas ,Praktikum Pengantar Komputasi Cerdas ,Pengantar Analisis Fungsional ,Teori Ukuran ,Pengantar Geometri Diferensial ,Teori Pengkodean ,Kalkulus Variasi ,Pengantar Pemodelan Gelombang ,Pengantar Diferensial Numerik ,Praktikum Pengantar Pengantar Diferensial Numerik ,Pengantar Dinamika Populasi ,Pengantar Sistem Dinamik Diskret ,Pengantar Pemodelan Stokastik ,Pengantar Analisis Reliabilitas ,Optimasi Numerik ,Praktikum Optimasi Numerik ,Matematika Asuransi 2 ,Pengantar Pengolahan Citra Digital ,Praktikum Pengantar Pengolahan Citra Digital ,Pengantar Topologi ,Pengantar Geometri Fraktal ,Pengantar Fungsi Kontrol Optimal ,Pengantar Metode Elemen Hingga ,Praktikum Pengantar Metode Elemen Hingga ,Pengantar Optimasi Heuristik ,Model Risiko Asuransi ,Waktu,Waktu dalam jam
Responden37,B21,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,0,3 jam,3
Responden38,B22,0,3,0,0,4,4,4,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,4,3,4,5,4,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 hari,72
Responden39,B23,0,2,2,0,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,3,4,5,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1-2 meniit,0.0333333
Responden40,B24,0,0,0,3,0,0,4,4,3,0,0,5,0,0,0,0,0,0,0,0,0,3,4,3,4,3,3,4,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5 menit ,0.0833333
Responden41,B25,4,3,5,4,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,3,4,3,0,0,0,0,0,0,0,3,5,0,0,4,4,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,1 jam,1
Responden42,B26,0,0,4,2,0,0,0,0,4,0,0,5,0,0,0,3,0,4,0,0,0,3,4,4,4,2,0,5,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 minggu ,168
Responden43,B27,0,3,4,3,0,0,5,0,0,0,0,4,3,0,0,3,0,4,0,0,0,3,3,0,4,4,0,4,5,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5 menit,0.0833333
Responden44,B28,4,0,0,0,4,4,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,2,0,5,4,0,0,0,4,3,0,3,4,0,0,0,0,0,3,0,0,0,0,5-10 detik,0.00277778
Responden45,B29,0,3,0,4,0,0,4,3,4,0,0,3,0,0,0,2,2,0,0,0,0,3,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,60×24 menit,24
Responden46,B30,4,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,3,3,0,5,5,0,0,0,0,0,0,0,2 hari,48
Responden47,B31,0,5,0,0,5,5,0,0,0,0,0,4,3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,4,0,3,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,2 minggu,336
Responden48,B32,0,0,0,1,4,4,0,0,3,0,0,5,0,5,4,0,0,0,0,0,0,0,5,0,0,0,3,5,5,0,4,4,0,0,0,4,0,3,0,0,0,0,0,0,4,4,0,5,4,0,0,0,0,0,0,0,1 bulan,720
Responden49,B33,0,4,0,0,4,4,5,5,3,0,0,0,0,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,5,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5 menit,0.0833333
Responden50,B34,4,2,0,0,4,4,3,0,0,3,0,4,4,0,0,0,4,0,0,0,3,0,0,0,0,0,0,5,0,0,3,3,0,0,3,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1 hari,24
Responden51,B35,4,0,0,0,5,5,0,0,0,4,0,4,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1 menit,0.0333333
Responden52,B36,0,4,4,0,3,3,3,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,2 minggu,336
